t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T21:56:52,1423691811.954351,476963789.840885,4902.353335,14934,717,csn,3.208748e+02,44,CO2,9.100000,IV
2015-02-11T21:56:48,1423691807.953204,476963785.840487,4898.353335,14934,717,csn,3.245445e+02,44,CO2,9.200000,IV
2015-02-11T21:56:42,1423691801.953407,476963779.839890,4892.353335,14934,717,csn,3.282435e+02,44,CO2,9.300000,IV
2015-02-11T21:56:38,1423691797.952273,476963775.839493,4888.353335,14934,717,csn,3.312259e+02,44,CO2,9.400000,IV
2015-02-11T21:56:34,1423691793.952309,476963771.839095,4884.353335,14934,717,csn,3.403821e+02,44,CO2,9.500000,IV
2015-02-11T21:56:28,1423691787.951537,476963765.838499,4878.353335,14934,717,csn,3.491188e+02,44,CO2,9.600000,IV
2015-02-11T21:55:56,1423691755.948210,476963733.835319,4846.353335,14934,717,csn,3.629244e+02,44,CO2,9.700000,IV
2015-02-11T21:55:54,1423691753.948423,476963731.835120,4844.353335,14934,717,csn,3.645224e+02,44,CO2,9.800000,IV
2015-02-11T21:55:52,1423691751.948324,476963729.834920,4842.353335,14934,717,csn,3.669288e+02,44,CO2,9.900000,IV
2015-02-11T21:55:48,1423691747.947249,476963725.834523,4838.353335,14934,717,csn,3.701531e+02,44,CO2,10.000000,IV
2015-02-11T21:55:44,1423691743.947338,476963721.834126,4834.353335,14934,717,csn,3.742107e+02,44,CO2,10.000000,IV
2015-02-11T21:55:38,1423691737.946271,476963715.833530,4828.353335,14934,717,csn,3.799403e+02,44,CO2,9.900000,IV
2015-02-11T21:55:30,1423691729.946259,476963707.832735,4820.353335,14934,717,csn,3.865560e+02,44,CO2,9.800000,IV
2015-02-11T21:55:22,1423691721.944841,476963699.831939,4812.353335,14934,717,csn,3.940879e+02,44,CO2,9.700000,IV
2015-02-11T21:55:12,1423691711.944285,476963689.830945,4802.353335,14934,717,csn,4.008553e+02,44,CO2,9.600000,IV
2015-02-11T21:55:06,1423691705.943375,476963683.830349,4796.353335,14934,717,csn,4.085625e+02,44,CO2,9.500000,IV
2015-02-11T21:54:54,1423691693.942363,476963671.829157,4784.353335,14934,717,csn,4.202065e+02,44,CO2,9.400000,IV
2015-02-11T21:54:48,1423691687.941418,476963665.828560,4778.353335,14934,717,csn,4.260064e+02,44,CO2,9.300000,IV
2015-02-11T21:54:32,1423691671.940459,476963649.826969,4762.353335,14934,717,csn,4.433554e+02,44,CO2,9.200000,IV
2015-02-11T21:54:14,1423691653.938524,476963631.825180,4744.353335,14934,717,csn,4.590279e+02,44,CO2,9.100000,IV
2015-02-11T21:58:56,1423691935.966204,476963913.853209,5026.353335,14934,717,csn,2.426554e+02,28,N2,3.000000,IV
2015-02-11T21:59:00,1423691939.966825,476963917.853606,5030.353335,14934,717,csn,2.381316e+02,28,N2,3.100000,IV
2015-02-11T21:59:12,1423691951.968211,476963929.854798,5042.353335,14934,717,csn,2.337137e+02,28,N2,3.200000,IV
2015-02-11T21:59:20,1423691959.969182,476963937.855595,5050.353335,14934,717,csn,2.283057e+02,28,N2,3.300000,IV
