PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
| 1023 | Solar Conjunction                      |     |       |         |     |
| 1024 | Solar Conjunction                      |     |       |         |     |
| 1025 | Solar Conjunction                      |     |       |         |     |
| 1028 |                                        | X   |       |         |     |
| 1029 |                                        | X   |       |         |     |
| 1030 |                                        | X   |       |         |     |
| 1031 |                                        | X   |       |         |     |
| 1032 |                                        | X   | X     |         |     |
| 1034 |                                        | X   |       |         |     |
| 1035 |                                        | X   |       |         |     |
| 1037 |                                        | X   |       |         |     |
| 1038 |                                        | X   |       |         |     |
| 1040 |                                        | X   |       |         |     |
| 1043 |                                        |     | X     |         |     |
| 1048 |                                        | X   |       |         |     |
| 1054 |                                        |     | X     |         |     |
| 1062 |                                        |     |       |         | X   |
| 1063 |                                        |     | X     |         | X   |
| 1071 |                                        | X   |       |         |     |
| 1072 |                                        | X   |       |         |     |
| 1073 |                                        | X   | X     |         |     |
| 1075 |                                        | X   |       |         |     |
| 1076 |                                        | X   |       |         |     |
| 1077 |                                        | X   |       |         |     |
| 1078 |                                        | X   |       |         |     |
| 1079 |                                        | X   |       |         |     |
| 1080 |                                        | X   |       |         |     |
| 1082 |                                        | X   |       |         |     |
| 1084 |                                        |     | X     |         |     |
| 1094 |                                        |     | X     |         |     |
| 1104 |                                        |     | X     |         |     |
| 1113 |                                        | X   |       |         |     |
